model,input,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f1_ep11,1,11,dev,7.335892038345337,0.8558673469387755,0.4396551724137931,0.5151515151515151,0.47441860465116276,48,65,620,51,1200
cam+,c4,34,32,0.001,,1,,test,8.812151427268981,0.8278894472361809,0.4732142857142857,0.40458015267175573,0.43621399176954734,78,59,606,53,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f2_ep71,2,71,dev,7.663718805313111,0.8417085427135679,0.5242718446601942,0.4122137404580153,0.46153846153846156,77,49,616,54,1200
cam+,34,32,0.001,,2,,test,8.267269345430227,0.8100490196078431,0.4861111111111111,0.46357615894039733,0.4745762711864407,81,74,591,70,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f3_ep2,3,2,dev,7.560923771216319,0.7990196078431373,0.46285714285714286,0.5364238410596026,0.4969325153374233,70,94,571,81,1200
cam+,c4,34,32,0.001,,3,,test,6.322589473724365,0.827020202020202,0.45185185185185184,0.49193548387096775,0.47104247104247104,63,74,594,61,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f4_ep37,4,37,dev,11.450745658874512,0.8308080808080808,0.4632352941176471,0.5080645161290323,0.4846153846153846,61,73,595,63,1200
cam+,c4,34,32,0.001,,4,,test,13.034963818788528,0.8185328185328186,0.4645669291338583,0.44696969696969696,0.45559845559845563,73,68,577,59,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f5_ep41,5,41,dev,14.179559706449508,0.8146718146718147,0.45774647887323944,0.49242424242424243,0.4744525547445255,67,77,568,65,1200
cam+,c4,34,32,0.001,,5,,test,11.115595780886137,0.8220858895705522,0.35294117647058826,0.45714285714285713,0.39834024896265563,57,88,622,48,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f6_ep74,6,74,dev,10.491873062573946,0.8147239263803681,0.32575757575757575,0.4095238095238095,0.36286919831223624,62,89,621,43,1200
cam+,c4,34,32,0.001,,6,,test,11.318778052330018,0.8180677540777918,0.37398373983739835,0.40350877192982454,0.38818565400843885,68,77,606,46,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f7_ep79,7,79,dev,9.91456015586853,0.8193224592220828,0.39285714285714285,0.4824561403508772,0.4330708661417323,59,85,598,55,1200
cam+,c4,34,32,0.001,,7,,test,12.5520729637146,0.7860759493670886,0.3819444444444444,0.4074074074074074,0.39426523297491034,80,89,566,55,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f8_ep40,8,40,dev,11.415428924560548,0.779746835443038,0.3803680981595092,0.45925925925925926,0.4161073825503356,73,101,554,62,1200
cam+,c4,34,32,0.001,,8,,test,9.632510166168213,0.7751256281407035,0.3128491620111732,0.5,0.3848797250859107,56,123,561,56,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f9_ep10,9,10,dev,6.6312267875671385,0.7625628140703518,0.3103448275862069,0.5625,0.4,49,140,544,63,1200
cam+,c4,34,32,0.001,,9,,test,6.130060617740337,0.8246041412911084,0.41975308641975306,0.576271186440678,0.4857142857142857,50,94,609,68,1200
cam+,c4,34,32,0.001,cam+_cross4bert_34_h1200_bs32_lr0.001_f10_ep14,10,14,dev,5.679909664850968,0.8550548112058465,0.4954128440366973,0.4576271186440678,0.4757709251101322,64,55,648,54,1200
cam+,c4,34,32,0.001,,10,,test,5.75881000995636,0.8443877551020408,0.4049586776859504,0.494949494949495,0.44545454545454544,50,72,613,49,1200
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f1_ep37,1,37,dev,11.98370457649231,0.8571428571428571,0.44715447154471544,0.5555555555555556,0.49549549549549554,44,68,617,55,600
cam,c4,34,32,0.001,,1,,test,16.254204132556914,0.8077889447236181,0.4112903225806452,0.3893129770992366,0.4,80,73,592,51,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f2_ep4,2,4,dev,9.27571683883667,0.8391959798994975,0.5172413793103449,0.3435114503816794,0.4128440366972477,86,42,623,45,600
cam,c4,34,32,0.001,,2,,test,9.322555206142939,0.8321078431372549,0.5660377358490566,0.3973509933774834,0.4669260700389105,91,46,619,60,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f3_ep5,3,5,dev,9.634213383381184,0.7843137254901961,0.43315508021390375,0.5364238410596026,0.4792899408284023,70,106,559,81,600
cam,c4,34,32,0.001,,3,,test,7.749093561172486,0.821969696969697,0.44370860927152317,0.5403225806451613,0.48727272727272725,57,84,584,67,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f4_ep22,4,22,dev,14.895717220306397,0.8244949494949495,0.4418604651162791,0.4596774193548387,0.45059288537549413,67,72,596,57,600
cam,c4,34,32,0.001,,4,,test,17.63859405517578,0.8095238095238095,0.4375,0.42424242424242425,0.43076923076923074,76,72,573,56,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f5_ep9,5,9,dev,12.36244167804718,0.803088803088803,0.4304635761589404,0.49242424242424243,0.45936395759717313,67,86,559,65,600
cam,c4,34,32,0.001,,5,,test,9.837424755096436,0.8098159509202454,0.323943661971831,0.4380952380952381,0.3724696356275304,59,96,614,46,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f6_ep39,6,39,dev,19.890500461825958,0.8515337423312883,0.4069767441860465,0.3333333333333333,0.36649214659685864,70,51,659,35,600
cam,c4,34,32,0.001,,6,,test,21.60199420452118,0.8607277289836889,0.5238095238095238,0.2894736842105263,0.3728813559322034,81,30,653,33,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f7_ep8,7,8,dev,8.091098918914795,0.8368883312421581,0.42592592592592593,0.40350877192982454,0.4144144144144144,68,62,621,46,600
cam,c4,34,32,0.001,,7,,test,9.997046775817871,0.7873417721518987,0.36134453781512604,0.31851851851851853,0.33858267716535434,92,76,579,43,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f8_ep64,8,64,dev,27.904228591918944,0.7873417721518987,0.36585365853658536,0.3333333333333333,0.34883720930232553,90,78,577,45,600
cam,c4,34,32,0.001,,8,,test,22.165574417114257,0.8140703517587939,0.32,0.2857142857142857,0.30188679245283023,80,68,616,32,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f9_ep7,9,7,dev,7.8890252208709715,0.7537688442211056,0.29411764705882354,0.5357142857142857,0.379746835443038,52,144,540,60,600
cam,c4,34,32,0.001,,9,,test,6.065497957743132,0.8172959805115713,0.4101123595505618,0.6186440677966102,0.4932432432432433,45,105,598,73,600
cam,c4,34,32,0.001,cam_cross4bert_34_h600_bs32_lr0.001_f10_ep19,10,19,dev,5.777236970571371,0.8465286236297198,0.47101449275362317,0.5508474576271186,0.5078125,53,73,630,65,600
cam,c4,34,32,0.001,,10,,test,5.828904418945313,0.8303571428571429,0.38028169014084506,0.5454545454545454,0.44813278008298757,45,88,597,54,600
