model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam++_base,68,32,0.001,,2,,test,10.234851321348778,0.7708333333333334,0.4117647058823529,0.5562913907284768,0.4732394366197183,67,120,545,84,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f3_ep67,3,67,dev,10.369973778151548,0.8002450980392157,0.46808510638297873,0.5827814569536424,0.5191740412979352,63,100,565,88,1200
cam++_base,68,32,0.001,,3,,test,9.446644697189331,0.8295454545454546,0.45925925925925926,0.5,0.47876447876447875,62,73,595,62,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f4_ep31,4,31,dev,10.432125978469848,0.8371212121212122,0.4793388429752066,0.46774193548387094,0.473469387755102,66,63,605,58,1200
cam++_base,68,32,0.001,,4,,test,12.61211440205574,0.8223938223938224,0.475,0.4318181818181818,0.4523809523809524,75,63,582,57,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f5_ep9,5,9,dev,15.000676205158234,0.8507078507078507,0.6025641025641025,0.3560606060606061,0.44761904761904764,85,31,614,47,1200
cam++_base,68,32,0.001,,5,,test,13.209475127550272,0.845398773006135,0.3793103448275862,0.3142857142857143,0.34375,72,54,656,33,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f6_ep6,6,6,dev,10.611177838765657,0.8355828220858895,0.3739130434782609,0.4095238095238095,0.390909090909091,62,72,638,43,1200
cam++_base,68,32,0.001,,6,,test,10.072621445655823,0.8431618569636136,0.44761904761904764,0.41228070175438597,0.4292237442922375,67,58,625,47,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f7_ep136,7,136,dev,30.07496886253357,0.8707653701380176,0.6037735849056604,0.2807017543859649,0.3832335329341317,82,21,662,32,1200
cam++_base,68,32,0.001,,7,,test,35.87809181213379,0.8240506329113924,0.4714285714285714,0.24444444444444444,0.32195121951219513,102,37,618,33,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f8_ep41,8,41,dev,17.99008957862854,0.8063291139240506,0.4224137931034483,0.362962962962963,0.3904382470119522,86,67,588,49,1200
